Date,Price,Open,High,Low,Vol.,Change %,Price (USD),Market Cap (USD),24h Volume (USD),24h Change (%)
2025-02-10,2665.36,2649.91,2684.55,2520.02,507598.6537,0.583,,,,
2025-02-10,2673.73,2640.69,2685.45,2520.02,512880.3818,1.251,,,,
2025-02-10,2679.9,2635.49,2689.41,2520.02,520655.1313,1.685,,,,
2025-02-10,2680.9,2635.88,2689.41,2520.02,520595.6127,1.708,,,,
2025-02-10,2681.37,2636.05,2689.41,2520.02,520647.2032,1.719,,,,
2025-02-10,2654.32,2641.69,2666.38,2520.02,477107.4009,0.478,,,,
2025-02-10,2674.19,2623.92,2684.55,2520.02,476765.4377,1.916,,,,
2025-02-10,2679.3,2635.5,2689.41,2520.02,520643.4642,1.662,,,,
2025-02-10,2674.88,2640.03,2685.45,2520.02,511224.5738,1.32,,,,
2025-02-10,2674.37,2641.71,2685.45,2520.02,514031.9705,1.236,,,,
2025-02-10,2680.72,2633.83,2689.41,2520.02,520557.8058,1.78,,,,
2025-02-10,2670.56,2640.41,2685.45,2520.02,511672.0368,1.142,,,,
2025-02-10,2645.99,2647.17,2666.38,2520.02,480808.9225,-0.045,,,,
2025-02-10,2672.8,2638.48,2685.45,2520.02,512781.9232,1.301,,,,
2025-02-10,2661.98,2628.21,2684.55,2520.02,479010.1287,1.285,,,,
2025-02-10,2680.53,2636.04,2689.41,2520.02,520631.2683,1.688,,,,
2025-02-10,2665.69,2655.79,2684.55,2520.02,498351.1135,0.373,,,,
2025-02-10,2676.88,2639.7,2685.45,2520.02,516896.4353,1.408,,,,
2025-02-10,2673.4,2617.77,2674.63,2520.02,474447.94,2.125,,,,
2025-02-10,2674.99,2611.97,2675.0,2520.02,473150.5899,2.413,,,,
2025-02-10,2676.61,2651.03,2685.45,2520.02,510272.7298,0.965,,,,
2025-02-10,2659.23,2623.91,2684.55,2520.02,478768.1533,1.346,,,,
2025-02-10,2680.29,2635.99,2689.41,2520.02,520644.6685,1.681,,,,
2025-02-10,2661.76,2631.23,2684.55,2520.02,479150.6558,1.16,,,,
2025-02-10,2680.09,2635.66,2689.41,2520.02,520656.0099,1.686,,,,
2025-02-10,2679.92,2635.5,2689.41,2520.02,520652.2547,1.685,,,,
2025-02-10,2672.31,2636.71,2685.45,2520.02,512828.4772,1.35,,,,
2025-02-10,2681.52,2641.4,2685.45,2520.02,514720.1544,1.519,,,,
2025-02-10,2670.19,2641.7,2685.45,2520.02,512444.9059,1.078,,,,
2025-02-10,2648.72,2654.03,2666.38,2520.02,481644.9946,-0.2,,,,
2025-02-10,2666.34,2615.82,2670.45,2520.02,474704.2117,1.931,,,,
2025-02-10,2643.71,2655.19,2666.38,2520.02,481590.0757,-0.432,,,,
2025-02-10,2680.39,2634.01,2689.41,2520.02,520642.6918,1.761,,,,
2025-02-10,2661.7,2629.74,2684.55,2520.02,479575.1567,1.215,,,,
2025-02-10,2669.03,2653.88,2684.55,2520.02,499334.6805,0.571,,,,
2025-02-10,2670.48,2615.37,2674.63,2520.02,472937.69,2.107,,,,
2025-02-10,2680.59,2634.76,2689.41,2520.02,520646.0469,1.739,,,,
2025-02-10,2682.2,2619.07,2684.55,2520.02,475732.3089,2.41,,,,
2025-02-10,2667.31,2634.02,2670.41,2520.02,477141.7665,1.264,,,,
2025-02-10,2649.52,2652.99,2666.38,2520.02,482249.2129,-0.131,,,,
2025-02-10,2673.0,2654.5,2684.55,2520.02,499829.5151,0.697,,,,
2025-02-10,2680.91,2634.18,2689.41,2520.02,520557.7569,1.774,,,,
2025-02-10,2679.9,2635.49,2689.41,2520.02,520655.0135,1.685,,,,
2025-02-10,2677.62,2618.92,2684.55,2520.02,476123.816,2.241,,,,
2025-02-10,2645.66,2646.76,2666.38,2520.02,481132.4555,-0.042,,,,
2025-02-10,2678.49,2642.71,2685.45,2520.02,515564.0349,1.354,,,,
2025-02-10,2683.54,2638.22,2685.45,2520.02,517597.423,1.718,,,,
2025-02-10,2680.49,2636.99,2689.41,2520.02,520565.5886,1.65,,,,
2025-02-10,2679.91,2636.22,2689.41,2520.02,520637.8613,1.657,,,,
2025-02-10,2671.57,2628.77,2684.55,2520.02,476879.1398,1.628,,,,
2025-02-10,2660.45,2626.83,2684.55,2520.02,478887.7057,1.28,,,,
2025-02-10,2680.91,2635.99,2689.41,2520.02,520593.5836,1.704,,,,
2025-02-10,2664.59,2660.85,2684.55,2520.02,505481.308,0.141,,,,
2025-02-10,2679.65,2635.91,2689.41,2520.02,520638.8745,1.659,,,,
2025-02-10,2661.99,2631.54,2684.55,2520.02,480060.7897,1.157,,,,
2025-02-10,2644.73,2656.79,2666.38,2520.02,481649.118,-0.454,,,,
2025-02-10,2679.65,2635.83,2689.41,2520.02,520631.9257,1.662,,,,
2025-02-10,2679.94,2636.68,2689.41,2520.02,520644.1928,1.641,,,,
2025-02-10,2660.4,2651.76,2684.55,2520.02,497766.003,0.326,,,,
2025-02-10,2681.53,2649.43,2685.45,2520.02,509363.9817,1.212,,,,
2025-02-11,2690.11,2634.63,2725.04,2631.24,369575.313,2.106,,,,
2025-02-11,2688.71,2641.8,2725.04,2636.49,368256.589,1.776,,,,
2025-02-11,2690.0,2640.01,2725.04,2636.49,368290.7244,1.894,,,,
2025-02-11,2689.61,2640.58,2725.04,2636.49,368202.9749,1.857,,,,
2025-02-11,2691.88,2638.5,2725.04,2636.49,368602.0697,2.023,,,,
2025-02-11,2691.04,2637.77,2725.04,2636.49,368837.6974,2.02,,,,
2025-02-11,2688.27,2640.95,2725.04,2636.49,368171.8264,1.792,,,,
2025-02-12,2612.41,2688.38,2725.04,2607.28,387744.1747,-2.826,,,,
2025-02-12,2606.19,2686.96,2725.04,2602.49,392114.2438,-3.006,,,,
